COUNTRY;ADJACENT
ABKHAZIA;GEORGIA
ABKHAZIA;RUSSIA
ABKHAZIA;TURKEY
ABKHAZIA;UKRAINE
ADÉLIE LAND;ANTARCTICA
AKROTIRI AND DHEKELIA;CYPRUS
AKROTIRI AND DHEKELIA;EGYPT
AKROTIRI AND DHEKELIA;LEBANON
ALBANIA;GREECE
ALBANIA;ITALY
ALBANIA;MONTENEGRO
ALGERIA;ITALY
ALGERIA;MOROCCO
ALGERIA;SPAIN
ALGERIA;TUNISIA
AMERICAN SAMOA;COOK ISLANDS
AMERICAN SAMOA;NIUE
AMERICAN SAMOA;SAMOA
AMERICAN SAMOA;TOKELAU
AMERICAN SAMOA;TONGA
ANGOLA;CONGO
ANGOLA;CONGO
ANGOLA;NAMIBIA
ANGUILLA;ANTIGUA AND BARBUDA
ANGUILLA;NETHERLANDS
ANGUILLA;SAINT MARTIN
ANGUILLA;UNITED STATES VIRGIN ISLANDS
ANTARCTICA;ANTARCTICA
ANTARCTICA;ANTARCTICA
ANTARCTICA;PETER I ISLAND
ANTARCTICA;ANTARCTICA
ANTARCTICA;ANTARCTICA
ANTARCTICA;ANTARCTICA
ANTARCTICA;ANTARCTICA
ANTARCTICA;QUEEN MAUD LAND
ANTARCTICA;MALDIVES
ANTARCTICA;HEARD ISLAND AND MCDONALD ISLANDS
ANTARCTICA;COMOROS
ANTARCTICA;MADAGASCAR
ANTARCTICA;MAURITIUS
ANTARCTICA;MOZAMBIQUE
ANTARCTICA;SEYCHELLES
ANTIGUA AND BARBUDA;ANGUILLA
ANTIGUA AND BARBUDA;GUADELOUPE
ANTIGUA AND BARBUDA;MONTSERRAT
ANTIGUA AND BARBUDA;SAINT KITTS AND NEVIS
ANTIGUA AND BARBUDA;SAINT BARTHÉLEMY
ARGENTINA;CHILE
ARGENTINA;FALKLAND ISLANDS
ARGENTINA;URUGUAY
ARUBA;DOMINICAN REPUBLIC
ARUBA;VENEZUELA
ASHMORE AND CARTIER ISLANDS;INDONESIA
AUSTRALIA;EAST TIMOR
AUSTRALIA;INDONESIA
AUSTRALIA;KERGUELEN ISLANDS
AUSTRALIA;NEW CALEDONIA
AUSTRALIA;NEW ZEALAND
AUSTRALIA;PAPUA NEW GUINEA
AUSTRALIA;SOLOMON ISLANDS
AUSTRALIA;ADÉLIE LAND
AUSTRALIA;QUEEN MAUD LAND
AUSTRALIA;ROSS DEPENDENCY
AZERBAIJAN;IRAN
AZERBAIJAN;RUSSIA
AZERBAIJAN;TURKMENISTAN
BAHAMAS;CUBA
BAHAMAS;HAITI
BAHAMAS;TURKS AND CAICOS ISLANDS
BAHAMAS;UNITED STATES
BAHRAIN;IRAN
BAHRAIN;QATAR
BAHRAIN;SAUDI ARABIA
BAKER ISLAND;KIRIBATI
BANGLADESH;BURMA
BANGLADESH;INDIA
BARBADOS;GUADELOUPE
BARBADOS;MARTINIQUE
BARBADOS;SAINT LUCIA
BARBADOS;SAINT VINCENT AND THE GRENADINES
BARBADOS;TRINIDAD AND TOBAGO
BELGIUM;FRANCE
BELGIUM;NETHERLANDS
BELGIUM;UNITED KINGDOM
BELIZE;GUATEMALA
BELIZE;HONDURAS
BELIZE;MEXICO
BENIN;GHANA
BENIN;NIGERIA
BENIN;TOGO
BOSNIA AND HERZEGOVINA;CROATIA
BRAZIL;FRENCH GUIANA
BRAZIL;URUGUAY
BRITISH VIRGIN ISLANDS;PUERTO RICO
BRITISH VIRGIN ISLANDS;UNITED STATES VIRGIN ISLANDS
BRUNEI;MALAYSIA
BULGARIA;ROMANIA
BULGARIA;TURKEY
BURMA;BANGLADESH
BURMA;INDIA
BURMA;THAILAND
CAMBODIA;THAILAND
CAMBODIA;VIETNAM
CAMEROON;EQUATORIAL GUINEA
CAMEROON;NIGERIA
CANADA;GREENLAND
CANADA;SAINT PIERRE AND MIQUELON
CANADA;UNITED STATES
CAPE VERDE;THE GAMBIA
CAPE VERDE;MAURITANIA
CAPE VERDE;SENEGAL
CAYMAN ISLANDS;COLOMBIA
CAYMAN ISLANDS;CUBA
CAYMAN ISLANDS;HONDURAS
CAYMAN ISLANDS;JAMAICA
CHILE;ARGENTINA
CHILE;PERU
CHINA;HONG KONG
CHINA;JAPAN
CHINA;NORTH KOREA
CHINA;SOUTH KOREA
CHINA;MACAU
CHINA;PHILIPPINES
CHINA;VIETNAM
CHRISTMAS ISLAND;INDONESIA
COLOMBIA;CAYMAN ISLANDS
COLOMBIA;COSTA RICA
COLOMBIA;DOMINICAN REPUBLIC
COLOMBIA;ECUADOR
COLOMBIA;HAITI
COLOMBIA;HONDURAS
COLOMBIA;JAMAICA
COLOMBIA;NICARAGUA
COLOMBIA;PANAMA
COLOMBIA;VENEZUELA
COMOROS;GLORIOSO ISLANDS
COMOROS;MADAGASCAR
COMOROS;MAYOTTE
COMOROS;MOZAMBIQUE
COMOROS;RÉUNION
COMOROS;SEYCHELLES
COMOROS;TANZANIA
CONGO;ANGOLA
CONGO;ANGOLA
CONGO;GABON
COOK ISLANDS;AMERICAN SAMOA
